,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y.1,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,avg_daily_high_range,avg_daily_low_range,Earnings_BMO,Earnings_AMC,DJIA
A,24.42,2.68,0.003,321920000.0,-0.015300000000000001,21070000000.0,19.41,3.37,-0.051699999999999996,317890000.0,-0.1233,868000000.0,2.32,0.73,0.878,0.0137,-0.09230000000000001,4910000000.0,4.29,0.273,0.0042,1.52,0.0592,14.36,4.56,0.1092,0.037000000000000005,79.33,-0.0557,6.98,9.38,0.1051,0.069,-0.0296,0.66,29.31,0.326,0.136,-0.1285,1.29,0.0101,2.7,0.048,0.5479999999999999,0.0834,2.2,14800,3.3,0.08800000000000001,0.192,45.7,1,0.39,0.235,0.064,1.09,63.27,1,0.39,2019-11-19,0.581,2850000.0,65.46,1.8,-0.0354,-0.0213,-0.012199999999999999,3119738.0,0.0346,0.0296,0.031400000000000004,0,1,0
AA,977.24,0.03,0.001,195690000.0,0.0434,5550000000.0,8.01,3.54,0.0,185990000.0,-0.1158,10000000.0,244.31,0.65,0.862,0.028999999999999998,-0.3392,13230000000.0,0.42,1.585,-0.006999999999999999,1.46,-0.39549999999999996,28.04,1.01,-0.0304,-0.001,51.53,-0.48,5.22,5.43,0.04,-0.002,0.0662,,,,0.106,-0.5455,,,0.8,,0.251,0.1331,1.53,14600,1.4,0.14400000000000002,0.121,46.6,1,0.35,-1.365,-0.001,1.53,26.24,1,0.35,2019-01-16,,3690000.0,28.34,2.0,0.0206,-0.10949999999999999,-0.3325,5652866.0,0.08,0.052199999999999996,0.051100000000000007,0,1,0
AAL,6.94,4.62,0.002,477010000.0,0.0,15280000000.0,5.63,5.69,0.0438,457590000.0,-0.19190000000000002,2180000000.0,0.79,1.11,0.8220000000000001,0.0512,-0.17420000000000002,44200000000.0,0.35,0.162,-0.0152,2.33,-0.1566,-1.23,,0.2351,0.026000000000000002,48.83,-0.38780000000000003,10.18,3.15,0.0874,-1.67,-0.0022,0.4,,0.18899999999999997,0.153,-0.45770000000000005,1.34,0.0125,0.5,0.11199999999999999,0.615,0.1121,1.74,126600,0.6,0.054000000000000006,0.063,45.19,1,,-0.457,0.031,0.93,30.06,1,,2019-01-24,0.138,10050000.0,32.04,2.0,-0.0225,-0.0781,-0.1946,9344567.0,0.0659,0.0554,0.053,1,0,0
AAP,34.34,4.63,0.001,74110000.0,0.026600000000000002,11770000000.0,19.5,8.14,0.0027,72680000.0,-0.1073,343200000.0,1.9,1.13,0.9990000000000001,0.0429,-0.0524,9510000000.0,1.24,-0.278,-0.050300000000000004,2.62,0.1689,49.53,3.21,0.1474,0.064,195.65,0.48350000000000004,13.09,12.13,0.18059999999999998,0.155,0.0086,0.24,16.13,-0.03,0.086,-0.1469,1.08,0.0015,0.5,0.086,0.43799999999999994,0.5547,4.97,40000,1.6,0.043,0.064,46.11,1,0.0,-0.009000000000000001,0.057999999999999996,1.2,162.85,1,0.29,2019-02-12,0.032,1190000.0,158.81,2.3,-0.013600000000000001,-0.0501,0.08710000000000001,1423037.0,-0.0248,0.0318,0.032,1,0,0
AAPL,12.21,12.15,0.0007000000000000001,4870000000.0,-0.050499999999999996,722240000000.0,10.13,14.64,-0.1491,4740000000.0,-0.1978,61030000000.0,0.94,4.68,0.613,0.0095,-0.3611,265600000000.00003,2.72,0.326,-0.0226,1.03,-0.2003,22.31,6.65,0.1018,0.16,219.94,-0.1392,13.61,10.89,0.13,0.48700000000000004,-0.0601,2.92,14.33,0.165,0.266,-0.365,1.22,0.0197,1.1,0.092,0.38299999999999995,0.0441,6.41,132000,1.1,0.196,0.267,34.53,1,1.07,0.3,0.22399999999999998,1.31,142.19,1,0.87,2019-01-31,0.22699999999999998,43570000.0,148.26,2.1,-0.08380000000000001,-0.19210000000000002,-0.23190000000000002,57275863.0,0.042699999999999995,0.026699999999999998,0.0341,0,1,1
ABBV,17.54,5.08,0.001,1520000000.0,-0.009300000000000001,135190000000.0,10.22,8.72,-0.1597,1490000000.0,-0.049,7930000000.0,1.04,1.93,0.722,0.0207,-0.0723,32189999999.999996,4.2,-0.024,-0.0003,4.51,-0.057300000000000004,-1.93,,0.09609999999999999,0.11199999999999999,99.83,-0.10890000000000001,5.79,15.39,0.1684,,-0.0338,4.28,19.99,0.012,0.17800000000000002,-0.2923,1.46,0.0481,1.1,0.09,0.763,0.1493,3.12,30000,1.2,0.177,0.33,54.84,1,,0.7829999999999999,0.23399999999999999,1.29,86.29,1,,2019-02-01,0.675,6870000.0,89.07,2.6,0.0181,0.0292,-0.0493,8880634.0,0.0322,0.029500000000000002,0.036699999999999997,1,0,0
ABC,14.93,4.97,0.002,215590000.0,0.009399999999999999,16000000000.0,9.95,7.46,-0.34700000000000003,154690000.0,-0.1663,1100000000.0,1.57,1.5,0.6809999999999999,0.0297,-0.18469999999999998,167940000000.0,0.1,2.024,-0.0258,3.24,-0.1489,13.62,5.45,0.09789999999999999,0.044000000000000004,92.5,-0.2137,11.56,6.42,0.09480000000000001,0.5489999999999999,-0.0024,1.6,21.56,0.18899999999999997,0.171,-0.3016,1.08,0.0216,0.5,0.138,0.027999999999999997,0.0701,2.54,21000,0.9,0.107,0.008,35.02,1,1.59,1.7530000000000001,0.01,1.7,73.37,1,1.54,2019-02-05,0.2,1420000.0,74.22,2.4,-0.0462,-0.1189,-0.14400000000000002,2415731.0,0.0116,0.0254,0.0362,1,0,0
ABMD,68.23,4.59,0.02,46520000.0,-0.0070999999999999995,14580000000.0,62.88,4.99,-0.0355,43150000.0,-0.0874,211900000.0,2.36,0.94,0.903,0.0208,-0.265,690200000.0,21.13,1.496,0.026600000000000002,1.31,-0.2175,17.64,17.77,-0.013300000000000001,0.23800000000000002,446.1,0.6007,8.82,35.52,0.289,0.268,-0.035699999999999996,,94.19,0.514,0.18899999999999997,-0.3182,0.58,,6.1,0.303,0.8320000000000001,0.5889,16.31,1143,6.9,0.369,0.27399999999999997,47.35,1,0.0,1.026,0.276,0.91,302.29,1,0.0,2019-01-31,0.0,684980.0,313.44,1.5,0.0062,-0.0527,-0.1393,623759.0,0.0369,0.0449,0.0536,1,0,0
ABT,51.6,1.32,0.002,1800000000.0,-0.035699999999999996,122740000000.0,21.27,3.2,-0.1638,1740000000.0,-0.08289999999999999,2330000000.0,4.41,0.81,0.753,0.0085,-0.0546,30400000000.0,4.04,0.446,0.0083,2.0,0.1105,17.45,3.9,0.1099,0.012,79.58,0.156,4.19,16.26,0.11689999999999999,0.028999999999999998,-0.0583,1.28,41.47,0.474,0.022000000000000002,-0.0909,1.26,0.018799999999999997,1.1,0.075,0.58,0.2254,2.28,99000,1.4,0.121,0.102,45.46,1,0.77,0.04,0.028999999999999998,1.07,66.22,1,0.63,2019-01-23,2.2030000000000003,7400000.0,68.11,1.8,-0.0275,-0.028399999999999998,0.0426,7894740.0,0.0285,0.0291,0.030299999999999997,1,0,0
ACN,20.8,6.78,0.002,683120000.0,0.004699999999999999,96370000000.0,17.9,7.88,-0.10220000000000001,663340000.0,-0.15439999999999998,4390000000.0,2.39,1.57,0.737,0.009000000000000001,-0.18989999999999999,42150000000.0,2.29,0.215,-0.0151,2.32,-0.14400000000000002,19.85,7.11,0.0909,0.17300000000000001,174.62,-0.0872,6.39,22.07,0.08689999999999999,0.396,0.0004,2.92,26.05,0.06,0.426,-0.1968,1.09,0.0207,1.3,0.065,0.301,0.0636,4.43,459000,1.3,0.073,0.142,40.35,1,0.0,0.096,0.1,0.88,135.79,1,0.0,2019-12-20,0.401,2560000.0,141.07,2.3,-0.052300000000000006,-0.09230000000000001,-0.1158,2252124.0,0.038900000000000004,0.0227,0.0296,1,0,0
